[fold 4] train=60 val=16 test=19
  epoch 01 | train_loss=1.5554 | val_loss=1.7995
  epoch 02 | train_loss=1.5345 | val_loss=1.7885
  epoch 03 | train_loss=1.2425 | val_loss=1.7717
  epoch 04 | train_loss=1.4488 | val_loss=1.7607
  epoch 05 | train_loss=1.7079 | val_loss=1.7563
  epoch 06 | train_loss=1.4682 | val_loss=1.7559
  epoch 07 | train_loss=1.5566 | val_loss=1.7551
  epoch 08 | train_loss=1.7715 | val_loss=1.7410
  epoch 09 | train_loss=1.4096 | val_loss=1.7275
  epoch 10 | train_loss=1.3553 | val_loss=1.7295
  epoch 11 | train_loss=1.0599 | val_loss=1.7938
  epoch 12 | train_loss=1.3728 | val_loss=1.7894
  epoch 13 | train_loss=0.9954 | val_loss=1.8121
  epoch 14 | train_loss=1.3874 | val_loss=1.8176
  epoch 15 | train_loss=0.9898 | val_loss=1.8618
  epoch 16 | train_loss=1.1118 | val_loss=1.8894
  epoch 17 | train_loss=1.1356 | val_loss=1.8912
  epoch 18 | train_loss=1.0315 | val_loss=1.8946
  epoch 19 | train_loss=1.1065 | val_loss=1.9306
  epoch 20 | train_loss=0.7511 | val_loss=1.9512
  epoch 21 | train_loss=1.3869 | val_loss=1.9783
  early stop.
[fold 4] C-index = 0.763
